currentTimestamp,cfr_date,station,totalDelayMinutes
"01.07.2026 23:22",01.07.2026,"Putna Centru h",20
"01.07.2026 23:22",01.07.2026,"Putna Centru h",20
"01.07.2026 23:22",01.07.2026,"Putna Centru h",20
"01.07.2026 23:22",01.07.2026,"Putna Centru h",20
"01.07.2026 23:22",01.07.2026,"Putna Centru h",20
"02.07.2026 23:13",02.07.2026,"Putna Centru h",0
"02.07.2026 23:13",02.07.2026,"Putna Centru h",0
"02.07.2026 23:13",02.07.2026,"Putna Centru h",0
"02.07.2026 23:13",02.07.2026,"Putna Centru h",0
"02.07.2026 23:13",02.07.2026,"Putna Centru h",0
"03.07.2026 22:20",03.07.2026,"Putna Centru h",3
"03.07.2026 22:20",03.07.2026,"Putna Centru h",3
"03.07.2026 22:20",03.07.2026,"Putna Centru h",3
"03.07.2026 22:20",03.07.2026,"Putna Centru h",3
"03.07.2026 22:20",03.07.2026,"Putna Centru h",3
"04.07.2026 22:59",04.07.2026,"Putna Centru h",90
"04.07.2026 22:59",04.07.2026,"Putna Centru h",90
"04.07.2026 22:59",04.07.2026,"Putna Centru h",90
