currentTimestamp,cfr_date,station,totalDelayMinutes
"06.06.2026 20:13",05.06.2026,"Breaza Nord",87
"07.06.2026 04:05",06.06.2026,"Breaza Nord",9
"07.06.2026 08:21",06.06.2026,"Breaza Nord",9
"07.06.2026 11:02",06.06.2026,"Breaza Nord",9
"07.06.2026 12:28",06.06.2026,"Breaza Nord",9
"07.06.2026 14:38",06.06.2026,"Breaza Nord",9
"07.06.2026 17:42",06.06.2026,"Breaza Nord",9
"07.06.2026 20:09",06.06.2026,"Breaza Nord",9
"07.06.2026 21:38",07.06.2026,"Breaza Nord",7
"07.06.2026 23:18",07.06.2026,"Breaza Nord",7
"08.06.2026 04:53",07.06.2026,"Breaza Nord",7
"08.06.2026 22:07",08.06.2026,"Breaza Nord",45
"08.06.2026 22:07",08.06.2026,"Breaza Nord",45
"08.06.2026 22:07",08.06.2026,"Breaza Nord",45
"08.06.2026 22:07",08.06.2026,"Breaza Nord",45
"08.06.2026 22:07",08.06.2026,"Breaza Nord",45
"09.06.2026 22:49",09.06.2026,"Breaza Nord",72
"09.06.2026 22:49",09.06.2026,"Breaza Nord",72
"09.06.2026 22:49",09.06.2026,"Breaza Nord",72
"09.06.2026 22:49",09.06.2026,"Breaza Nord",72
"10.06.2026 23:22",10.06.2026,"Breaza Nord",83
"10.06.2026 23:22",10.06.2026,"Breaza Nord",83
"10.06.2026 23:22",10.06.2026,"Breaza Nord",83
