currentTimestamp,cfr_date,station,totalDelayMinutes
"04.08.2026 06:26",03.08.2026,"Chinezu h",122
"04.08.2026 06:26",03.08.2026,"Chinezu h",122
"04.08.2026 06:26",03.08.2026,"Chinezu h",122
"05.08.2026 09:16",04.08.2026,"Chinezu h",67
"05.08.2026 09:16",04.08.2026,"Chinezu h",67
"05.08.2026 09:16",04.08.2026,"Chinezu h",67
"05.08.2026 22:35",05.08.2026,"Chinezu h",69
"05.08.2026 22:35",05.08.2026,"Chinezu h",69
"05.08.2026 22:35",05.08.2026,"Chinezu h",69
"05.08.2026 22:35",05.08.2026,"Chinezu h",69
"07.08.2026 00:39",06.08.2026,"Chinezu h",30
"07.08.2026 00:39",06.08.2026,"Chinezu h",30
"07.08.2026 00:39",06.08.2026,"Chinezu h",30
"07.08.2026 00:39",06.08.2026,"Chinezu h",30
"07.08.2026 00:39",06.08.2026,"Chinezu h",30
"07.08.2026 22:04",07.08.2026,"Chinezu h",14
"07.08.2026 22:04",07.08.2026,"Chinezu h",14
"07.08.2026 22:04",07.08.2026,"Chinezu h",14
"07.08.2026 22:04",07.08.2026,"Chinezu h",14
"07.08.2026 22:04",07.08.2026,"Chinezu h",14
"07.08.2026 22:04",07.08.2026,"Chinezu h",14
"08.08.2026 21:41",08.08.2026,"Chinezu h",0
"08.08.2026 21:41",08.08.2026,"Chinezu h",0
"08.08.2026 21:41",08.08.2026,"Chinezu h",0
"08.08.2026 21:41",08.08.2026,"Chinezu h",0
"09.08.2026 22:08",09.08.2026,"Chinezu h",0
"09.08.2026 22:08",09.08.2026,"Chinezu h",0
"09.08.2026 22:08",09.08.2026,"Chinezu h",0
"09.08.2026 22:08",09.08.2026,"Chinezu h",0
"09.08.2026 22:08",09.08.2026,"Chinezu h",0
"09.08.2026 22:08",09.08.2026,"Chinezu h",0
"10.08.2026 21:53",10.08.2026,"Chinezu h",4
"10.08.2026 21:53",10.08.2026,"Chinezu h",4
"10.08.2026 21:53",10.08.2026,"Chinezu h",4
"10.08.2026 21:53",10.08.2026,"Chinezu h",4
"10.08.2026 21:53",10.08.2026,"Chinezu h",4
"10.08.2026 21:53",10.08.2026,"Chinezu h",4
"11.08.2026 22:27",11.08.2026,"Chinezu h",42
"11.08.2026 22:27",11.08.2026,"Chinezu h",42
"11.08.2026 22:27",11.08.2026,"Chinezu h",42
"11.08.2026 22:27",11.08.2026,"Chinezu h",42
"11.08.2026 22:27",11.08.2026,"Chinezu h",42
"11.08.2026 22:27",11.08.2026,"Chinezu h",42
"12.08.2026 22:25",12.08.2026,"Chinezu h",0
"12.08.2026 22:25",12.08.2026,"Chinezu h",0
"12.08.2026 22:25",12.08.2026,"Chinezu h",0
"12.08.2026 22:25",12.08.2026,"Chinezu h",0
"12.08.2026 22:25",12.08.2026,"Chinezu h",0
"12.08.2026 22:25",12.08.2026,"Chinezu h",0
"13.08.2026 21:57",13.08.2026,"Chinezu h",14
"13.08.2026 21:57",13.08.2026,"Chinezu h",14
"13.08.2026 21:57",13.08.2026,"Chinezu h",14
"13.08.2026 21:57",13.08.2026,"Chinezu h",14
"13.08.2026 21:57",13.08.2026,"Chinezu h",14
"13.08.2026 21:57",13.08.2026,"Chinezu h",14
"14.08.2026 22:02",14.08.2026,"Chinezu h",0
"14.08.2026 22:02",14.08.2026,"Chinezu h",0
"14.08.2026 22:02",14.08.2026,"Chinezu h",0
"14.08.2026 22:02",14.08.2026,"Chinezu h",0
"14.08.2026 22:02",14.08.2026,"Chinezu h",0
"14.08.2026 22:02",14.08.2026,"Chinezu h",0
"15.08.2026 21:55",15.08.2026,"Chinezu h",0
"15.08.2026 21:55",15.08.2026,"Chinezu h",0
"15.08.2026 21:55",15.08.2026,"Chinezu h",0
