currentTimestamp,cfr_date,station,totalDelayMinutes
"04.08.2026 06:03",03.08.2026,"General Nicolae Dăscălescu",335
"04.08.2026 06:03",03.08.2026,"General Nicolae Dăscălescu",335
"04.08.2026 06:03",03.08.2026,"General Nicolae Dăscălescu",335
"05.08.2026 08:53",04.08.2026,"General Nicolae Dăscălescu",340
"05.08.2026 08:53",04.08.2026,"General Nicolae Dăscălescu",340
"05.08.2026 08:53",04.08.2026,"General Nicolae Dăscălescu",340
"05.08.2026 22:21",05.08.2026,"General Nicolae Dăscălescu",164
"05.08.2026 22:21",05.08.2026,"General Nicolae Dăscălescu",164
"05.08.2026 22:21",05.08.2026,"General Nicolae Dăscălescu",164
"05.08.2026 22:21",05.08.2026,"General Nicolae Dăscălescu",164
"07.08.2026 00:16",06.08.2026,"General Nicolae Dăscălescu",222
"07.08.2026 00:16",06.08.2026,"General Nicolae Dăscălescu",222
"07.08.2026 00:16",06.08.2026,"General Nicolae Dăscălescu",222
"07.08.2026 00:16",06.08.2026,"General Nicolae Dăscălescu",222
"07.08.2026 00:16",06.08.2026,"General Nicolae Dăscălescu",222
"07.08.2026 21:50",07.08.2026,"General Nicolae Dăscălescu",45
"07.08.2026 21:50",07.08.2026,"General Nicolae Dăscălescu",45
"07.08.2026 21:50",07.08.2026,"General Nicolae Dăscălescu",45
"07.08.2026 21:50",07.08.2026,"General Nicolae Dăscălescu",45
"07.08.2026 21:50",07.08.2026,"General Nicolae Dăscălescu",45
"07.08.2026 21:50",07.08.2026,"General Nicolae Dăscălescu",45
"08.08.2026 21:37",08.08.2026,"General Nicolae Dăscălescu",122
"08.08.2026 21:37",08.08.2026,"General Nicolae Dăscălescu",122
"08.08.2026 21:37",08.08.2026,"General Nicolae Dăscălescu",122
"08.08.2026 21:37",08.08.2026,"General Nicolae Dăscălescu",122
"09.08.2026 21:47",09.08.2026,"General Nicolae Dăscălescu",32
"09.08.2026 21:47",09.08.2026,"General Nicolae Dăscălescu",32
"09.08.2026 21:47",09.08.2026,"General Nicolae Dăscălescu",32
"09.08.2026 21:47",09.08.2026,"General Nicolae Dăscălescu",32
"09.08.2026 21:47",09.08.2026,"General Nicolae Dăscălescu",32
"09.08.2026 21:47",09.08.2026,"General Nicolae Dăscălescu",32
