currentTimestamp,cfr_date,station,totalDelayMinutes
"01.07.2026 22:47",01.07.2026,"Bentu hc",66
"01.07.2026 22:47",01.07.2026,"Bentu hc",66
"01.07.2026 22:47",01.07.2026,"Bentu hc",66
"01.07.2026 22:47",01.07.2026,"Bentu hc",66
"01.07.2026 22:47",01.07.2026,"Bentu hc",66
"02.07.2026 22:37",02.07.2026,"Bentu hc",48
"02.07.2026 22:37",02.07.2026,"Bentu hc",48
"02.07.2026 22:37",02.07.2026,"Bentu hc",48
"02.07.2026 22:37",02.07.2026,"Bentu hc",48
"02.07.2026 22:37",02.07.2026,"Bentu hc",48
"03.07.2026 22:13",03.07.2026,"Bentu hc",24
"03.07.2026 22:13",03.07.2026,"Bentu hc",24
"03.07.2026 22:13",03.07.2026,"Bentu hc",24
"03.07.2026 22:13",03.07.2026,"Bentu hc",24
"03.07.2026 22:13",03.07.2026,"Bentu hc",24
"04.07.2026 22:26",04.07.2026,"Bentu hc",45
"04.07.2026 22:26",04.07.2026,"Bentu hc",45
"04.07.2026 22:26",04.07.2026,"Bentu hc",45
"04.07.2026 22:26",04.07.2026,"Bentu hc",45
"04.07.2026 22:26",04.07.2026,"Bentu hc",45
"05.07.2026 22:30",05.07.2026,"Bentu hc",56
"05.07.2026 22:30",05.07.2026,"Bentu hc",56
"05.07.2026 22:30",05.07.2026,"Bentu hc",56
"05.07.2026 22:30",05.07.2026,"Bentu hc",56
"06.07.2026 22:43",06.07.2026,"Bentu hc",24
"06.07.2026 22:43",06.07.2026,"Bentu hc",24
"06.07.2026 22:43",06.07.2026,"Bentu hc",24
"06.07.2026 22:43",06.07.2026,"Bentu hc",24
"06.07.2026 22:43",06.07.2026,"Bentu hc",24
"07.07.2026 22:29",07.07.2026,"Bentu hc",31
"07.07.2026 22:29",07.07.2026,"Bentu hc",31
"07.07.2026 22:29",07.07.2026,"Bentu hc",31
"07.07.2026 22:29",07.07.2026,"Bentu hc",31
"07.07.2026 22:29",07.07.2026,"Bentu hc",31
"08.07.2026 22:31",08.07.2026,"Bentu hc",51
