currentTimestamp,cfr_date,station,totalDelayMinutes
"07.06.2026 04:12",06.06.2026,"Târgu Ocna",35
"07.06.2026 08:29",06.06.2026,"Târgu Ocna",35
"07.06.2026 11:12",06.06.2026,"Târgu Ocna",35
"07.06.2026 12:38",06.06.2026,"Târgu Ocna",35
"07.06.2026 14:48",06.06.2026,"Târgu Ocna",35
"07.06.2026 17:50",06.06.2026,"Târgu Ocna",35
"07.06.2026 20:53",06.06.2026,"Târgu Ocna",35
"07.06.2026 22:08",07.06.2026,"Târgu Ocna",20
"07.06.2026 23:26",07.06.2026,"Târgu Ocna",20
"08.06.2026 05:01",07.06.2026,"Târgu Ocna",20
"08.06.2026 22:23",08.06.2026,"Târgu Ocna",212
"08.06.2026 22:23",08.06.2026,"Târgu Ocna",212
"08.06.2026 22:23",08.06.2026,"Târgu Ocna",212
"08.06.2026 22:23",08.06.2026,"Târgu Ocna",212
"08.06.2026 22:23",08.06.2026,"Târgu Ocna",212
"09.06.2026 23:26",09.06.2026,"Târgu Ocna",81
"09.06.2026 23:26",09.06.2026,"Târgu Ocna",81
"09.06.2026 23:26",09.06.2026,"Târgu Ocna",81
"09.06.2026 23:26",09.06.2026,"Târgu Ocna",81
"11.06.2026 00:10",10.06.2026,"Târgu Ocna",206
"11.06.2026 00:10",10.06.2026,"Târgu Ocna",206
"11.06.2026 00:10",10.06.2026,"Târgu Ocna",206
"12.06.2026 00:04",11.06.2026,"Târgu Ocna",63
"12.06.2026 00:04",11.06.2026,"Târgu Ocna",63
"12.06.2026 00:04",11.06.2026,"Târgu Ocna",63
"12.06.2026 00:04",11.06.2026,"Târgu Ocna",63
"12.06.2026 23:17",12.06.2026,"Târgu Ocna",38
"12.06.2026 23:17",12.06.2026,"Târgu Ocna",38
"12.06.2026 23:17",12.06.2026,"Târgu Ocna",38
"12.06.2026 23:17",12.06.2026,"Târgu Ocna",38
"13.06.2026 22:21",13.06.2026,"Târgu Ocna",9
"13.06.2026 22:21",13.06.2026,"Târgu Ocna",9
"13.06.2026 22:21",13.06.2026,"Târgu Ocna",9
"13.06.2026 22:21",13.06.2026,"Târgu Ocna",9
"14.06.2026 22:31",14.06.2026,"Târgu Ocna",130
"14.06.2026 22:31",14.06.2026,"Târgu Ocna",130
"14.06.2026 22:31",14.06.2026,"Târgu Ocna",130
"15.06.2026 23:18",15.06.2026,"Târgu Ocna",18
"15.06.2026 23:18",15.06.2026,"Târgu Ocna",18
"15.06.2026 23:18",15.06.2026,"Târgu Ocna",18
"16.06.2026 23:09",16.06.2026,"Târgu Ocna",65
"16.06.2026 23:09",16.06.2026,"Târgu Ocna",65
"16.06.2026 23:09",16.06.2026,"Târgu Ocna",65
"17.06.2026 23:01",17.06.2026,"Târgu Ocna",21
"17.06.2026 23:01",17.06.2026,"Târgu Ocna",21
"17.06.2026 23:01",17.06.2026,"Târgu Ocna",21
"17.06.2026 23:01",17.06.2026,"Târgu Ocna",21
"19.06.2026 00:13",18.06.2026,"Târgu Ocna",47
"19.06.2026 00:13",18.06.2026,"Târgu Ocna",47
"19.06.2026 00:13",18.06.2026,"Târgu Ocna",47
"19.06.2026 23:23",19.06.2026,"Târgu Ocna",85
"19.06.2026 23:23",19.06.2026,"Târgu Ocna",85
"19.06.2026 23:23",19.06.2026,"Târgu Ocna",85
"19.06.2026 23:23",19.06.2026,"Târgu Ocna",85
"20.06.2026 22:27",20.06.2026,"Târgu Ocna",19
"20.06.2026 22:27",20.06.2026,"Târgu Ocna",19
"20.06.2026 22:27",20.06.2026,"Târgu Ocna",19
"20.06.2026 22:27",20.06.2026,"Târgu Ocna",19
"21.06.2026 22:36",21.06.2026,"Târgu Ocna",29
"21.06.2026 22:36",21.06.2026,"Târgu Ocna",29
"21.06.2026 22:36",21.06.2026,"Târgu Ocna",29
"23.06.2026 00:06",22.06.2026,"Târgu Ocna",27
"23.06.2026 00:06",22.06.2026,"Târgu Ocna",27
"23.06.2026 00:06",22.06.2026,"Târgu Ocna",27
"23.06.2026 00:06",22.06.2026,"Târgu Ocna",27
"23.06.2026 00:06",22.06.2026,"Târgu Ocna",27
"23.06.2026 23:33",23.06.2026,"Târgu Ocna",50
"23.06.2026 23:33",23.06.2026,"Târgu Ocna",50
"23.06.2026 23:33",23.06.2026,"Târgu Ocna",50
"23.06.2026 23:33",23.06.2026,"Târgu Ocna",50
"23.06.2026 23:33",23.06.2026,"Târgu Ocna",50
"24.06.2026 23:13",24.06.2026,"Târgu Ocna",42
"24.06.2026 23:13",24.06.2026,"Târgu Ocna",42
"24.06.2026 23:13",24.06.2026,"Târgu Ocna",42
"24.06.2026 23:13",24.06.2026,"Târgu Ocna",42
"24.06.2026 23:13",24.06.2026,"Târgu Ocna",42
"25.06.2026 23:37",25.06.2026,"Târgu Ocna",331
"25.06.2026 23:37",25.06.2026,"Târgu Ocna",331
"25.06.2026 23:37",25.06.2026,"Târgu Ocna",331
"25.06.2026 23:37",25.06.2026,"Târgu Ocna",331
"26.06.2026 23:28",26.06.2026,"Târgu Ocna",30
"26.06.2026 23:28",26.06.2026,"Târgu Ocna",30
"26.06.2026 23:28",26.06.2026,"Târgu Ocna",30
"26.06.2026 23:28",26.06.2026,"Târgu Ocna",30
"26.06.2026 23:28",26.06.2026,"Târgu Ocna",30
