currentTimestamp,cfr_date,station,totalDelayMinutes
"07.06.2026 04:10",06.06.2026,"Porumbești hc",0
"07.06.2026 08:27",06.06.2026,"Porumbești hc",0
"07.06.2026 11:09",06.06.2026,"Porumbești hc",0
"07.06.2026 12:35",06.06.2026,"Porumbești hc",0
"07.06.2026 14:45",06.06.2026,"Porumbești hc",0
"07.06.2026 17:48",06.06.2026,"Porumbești hc",0
"07.06.2026 20:41",06.06.2026,"Porumbești hc",0
"07.06.2026 21:59",07.06.2026,"Porumbești hc",47
"07.06.2026 23:24",07.06.2026,"Porumbești hc",47
"08.06.2026 04:59",07.06.2026,"Porumbești hc",47
"08.06.2026 22:18",08.06.2026,"Porumbești hc",64
"08.06.2026 22:18",08.06.2026,"Porumbești hc",64
"08.06.2026 22:18",08.06.2026,"Porumbești hc",64
"08.06.2026 22:18",08.06.2026,"Porumbești hc",64
"08.06.2026 22:18",08.06.2026,"Porumbești hc",64
"09.06.2026 23:15",09.06.2026,"Porumbești hc",2
"09.06.2026 23:15",09.06.2026,"Porumbești hc",2
"09.06.2026 23:15",09.06.2026,"Porumbești hc",2
"09.06.2026 23:15",09.06.2026,"Porumbești hc",2
"10.06.2026 23:57",10.06.2026,"Porumbești hc",4
"10.06.2026 23:57",10.06.2026,"Porumbești hc",4
"10.06.2026 23:57",10.06.2026,"Porumbești hc",4
"11.06.2026 23:52",11.06.2026,"Porumbești hc",34
"11.06.2026 23:52",11.06.2026,"Porumbești hc",34
"11.06.2026 23:52",11.06.2026,"Porumbești hc",34
"11.06.2026 23:52",11.06.2026,"Porumbești hc",34
"12.06.2026 23:08",12.06.2026,"Porumbești hc",0
"12.06.2026 23:08",12.06.2026,"Porumbești hc",0
"12.06.2026 23:08",12.06.2026,"Porumbești hc",0
"12.06.2026 23:08",12.06.2026,"Porumbești hc",0
"13.06.2026 22:19",13.06.2026,"Porumbești hc",0
"13.06.2026 22:19",13.06.2026,"Porumbești hc",0
"13.06.2026 22:19",13.06.2026,"Porumbești hc",0
"13.06.2026 22:19",13.06.2026,"Porumbești hc",0
"14.06.2026 22:28",14.06.2026,"Porumbești hc",37
"14.06.2026 22:28",14.06.2026,"Porumbești hc",37
"14.06.2026 22:28",14.06.2026,"Porumbești hc",37
"15.06.2026 23:16",15.06.2026,"Porumbești hc",0
"15.06.2026 23:16",15.06.2026,"Porumbești hc",0
"15.06.2026 23:16",15.06.2026,"Porumbești hc",0
"16.06.2026 23:07",16.06.2026,"Porumbești hc",0
"16.06.2026 23:07",16.06.2026,"Porumbești hc",0
"16.06.2026 23:07",16.06.2026,"Porumbești hc",0
"17.06.2026 22:59",17.06.2026,"Porumbești hc",69
"17.06.2026 22:59",17.06.2026,"Porumbești hc",69
"17.06.2026 22:59",17.06.2026,"Porumbești hc",69
"17.06.2026 22:59",17.06.2026,"Porumbești hc",69
"19.06.2026 00:01",18.06.2026,"Porumbești hc",0
"19.06.2026 00:01",18.06.2026,"Porumbești hc",0
"19.06.2026 00:01",18.06.2026,"Porumbești hc",0
"19.06.2026 23:10",19.06.2026,"Porumbești hc",0
"19.06.2026 23:10",19.06.2026,"Porumbești hc",0
"19.06.2026 23:10",19.06.2026,"Porumbești hc",0
"19.06.2026 23:10",19.06.2026,"Porumbești hc",0
"20.06.2026 22:24",20.06.2026,"Porumbești hc",6
"20.06.2026 22:24",20.06.2026,"Porumbești hc",6
"20.06.2026 22:24",20.06.2026,"Porumbești hc",6
"20.06.2026 22:24",20.06.2026,"Porumbești hc",6
"21.06.2026 22:33",21.06.2026,"Porumbești hc",21
"21.06.2026 22:33",21.06.2026,"Porumbești hc",21
"21.06.2026 22:33",21.06.2026,"Porumbești hc",21
"22.06.2026 23:52",22.06.2026,"Porumbești hc",1
"22.06.2026 23:52",22.06.2026,"Porumbești hc",1
"22.06.2026 23:52",22.06.2026,"Porumbești hc",1
"22.06.2026 23:52",22.06.2026,"Porumbești hc",1
"22.06.2026 23:52",22.06.2026,"Porumbești hc",1
"23.06.2026 23:20",23.06.2026,"Porumbești hc",0
"23.06.2026 23:20",23.06.2026,"Porumbești hc",0
"23.06.2026 23:20",23.06.2026,"Porumbești hc",0
"23.06.2026 23:20",23.06.2026,"Porumbești hc",0
"23.06.2026 23:20",23.06.2026,"Porumbești hc",0
"24.06.2026 23:05",24.06.2026,"Porumbești hc",2
"24.06.2026 23:05",24.06.2026,"Porumbești hc",2
"24.06.2026 23:05",24.06.2026,"Porumbești hc",2
"24.06.2026 23:05",24.06.2026,"Porumbești hc",2
"24.06.2026 23:05",24.06.2026,"Porumbești hc",2
"25.06.2026 23:25",25.06.2026,"Porumbești hc",21
"25.06.2026 23:25",25.06.2026,"Porumbești hc",21
"25.06.2026 23:25",25.06.2026,"Porumbești hc",21
"25.06.2026 23:25",25.06.2026,"Porumbești hc",21
"26.06.2026 23:16",26.06.2026,"Porumbești hc",21
"26.06.2026 23:16",26.06.2026,"Porumbești hc",21
"26.06.2026 23:16",26.06.2026,"Porumbești hc",21
"26.06.2026 23:16",26.06.2026,"Porumbești hc",21
