currentTimestamp,cfr_date,station,totalDelayMinutes
"07.06.2026 04:11",06.06.2026,"Sacoșu Mic",37
"07.06.2026 08:28",06.06.2026,"Sacoșu Mic",37
"07.06.2026 11:10",06.06.2026,"Sacoșu Mic",37
"07.06.2026 12:36",06.06.2026,"Sacoșu Mic",37
"07.06.2026 14:46",06.06.2026,"Sacoșu Mic",37
"07.06.2026 17:48",06.06.2026,"Sacoșu Mic",37
"07.06.2026 20:45",06.06.2026,"Sacoșu Mic",37
"07.06.2026 22:02",07.06.2026,"Sacoșu Mic",7
"07.06.2026 23:24",07.06.2026,"Sacoșu Mic",7
"08.06.2026 04:59",07.06.2026,"Sacoșu Mic",7
"08.06.2026 22:20",08.06.2026,"Sacoșu Mic",20
"08.06.2026 22:20",08.06.2026,"Sacoșu Mic",20
"08.06.2026 22:20",08.06.2026,"Sacoșu Mic",20
"08.06.2026 22:20",08.06.2026,"Sacoșu Mic",20
"08.06.2026 22:20",08.06.2026,"Sacoșu Mic",20
"09.06.2026 23:19",09.06.2026,"Sacoșu Mic",11
"09.06.2026 23:19",09.06.2026,"Sacoșu Mic",11
"09.06.2026 23:19",09.06.2026,"Sacoșu Mic",11
"09.06.2026 23:19",09.06.2026,"Sacoșu Mic",11
"11.06.2026 00:01",10.06.2026,"Sacoșu Mic",13
"11.06.2026 00:01",10.06.2026,"Sacoșu Mic",13
"11.06.2026 00:01",10.06.2026,"Sacoșu Mic",13
"11.06.2026 23:56",11.06.2026,"Sacoșu Mic",18
"11.06.2026 23:56",11.06.2026,"Sacoșu Mic",18
"11.06.2026 23:56",11.06.2026,"Sacoșu Mic",18
"11.06.2026 23:56",11.06.2026,"Sacoșu Mic",18
"12.06.2026 23:11",12.06.2026,"Sacoșu Mic",64
"12.06.2026 23:11",12.06.2026,"Sacoșu Mic",64
"12.06.2026 23:11",12.06.2026,"Sacoșu Mic",64
"12.06.2026 23:11",12.06.2026,"Sacoșu Mic",64
"13.06.2026 22:20",13.06.2026,"Sacoșu Mic",158
"13.06.2026 22:20",13.06.2026,"Sacoșu Mic",158
"13.06.2026 22:20",13.06.2026,"Sacoșu Mic",158
"13.06.2026 22:20",13.06.2026,"Sacoșu Mic",158
"14.06.2026 22:29",14.06.2026,"Sacoșu Mic",24
"14.06.2026 22:29",14.06.2026,"Sacoșu Mic",24
"14.06.2026 22:29",14.06.2026,"Sacoșu Mic",24
"15.06.2026 23:17",15.06.2026,"Sacoșu Mic",57
"15.06.2026 23:17",15.06.2026,"Sacoșu Mic",57
"15.06.2026 23:17",15.06.2026,"Sacoșu Mic",57
"16.06.2026 23:07",16.06.2026,"Sacoșu Mic",45
"16.06.2026 23:07",16.06.2026,"Sacoșu Mic",45
"16.06.2026 23:07",16.06.2026,"Sacoșu Mic",45
"17.06.2026 22:59",17.06.2026,"Sacoșu Mic",118
"17.06.2026 22:59",17.06.2026,"Sacoșu Mic",118
"17.06.2026 22:59",17.06.2026,"Sacoșu Mic",118
"17.06.2026 22:59",17.06.2026,"Sacoșu Mic",118
"19.06.2026 00:05",18.06.2026,"Sacoșu Mic",128
"19.06.2026 00:05",18.06.2026,"Sacoșu Mic",128
