currentTimestamp,cfr_date,station,totalDelayMinutes
"07.06.2026 04:13",06.06.2026,Tulucești,0
"07.06.2026 08:29",06.06.2026,Tulucești,0
"07.06.2026 11:12",06.06.2026,Tulucești,0
"07.06.2026 12:38",06.06.2026,Tulucești,0
"07.06.2026 14:48",06.06.2026,Tulucești,0
"07.06.2026 17:50",06.06.2026,Tulucești,0
"07.06.2026 20:55",06.06.2026,Tulucești,0
"07.06.2026 22:09",07.06.2026,Tulucești,239
"07.06.2026 23:26",07.06.2026,Tulucești,239
"08.06.2026 05:01",07.06.2026,Tulucești,239
"08.06.2026 22:24",08.06.2026,Tulucești,0
"08.06.2026 22:24",08.06.2026,Tulucești,0
"08.06.2026 22:24",08.06.2026,Tulucești,0
"08.06.2026 22:24",08.06.2026,Tulucești,0
"08.06.2026 22:24",08.06.2026,Tulucești,0
"09.06.2026 23:28",09.06.2026,Tulucești,0
"09.06.2026 23:28",09.06.2026,Tulucești,0
"09.06.2026 23:28",09.06.2026,Tulucești,0
"09.06.2026 23:28",09.06.2026,Tulucești,0
"11.06.2026 00:12",10.06.2026,Tulucești,0
"11.06.2026 00:12",10.06.2026,Tulucești,0
"11.06.2026 00:12",10.06.2026,Tulucești,0
"12.06.2026 00:06",11.06.2026,Tulucești,0
"12.06.2026 00:06",11.06.2026,Tulucești,0
"12.06.2026 00:06",11.06.2026,Tulucești,0
"12.06.2026 00:06",11.06.2026,Tulucești,0
"12.06.2026 23:18",12.06.2026,Tulucești,0
"12.06.2026 23:18",12.06.2026,Tulucești,0
"12.06.2026 23:18",12.06.2026,Tulucești,0
"12.06.2026 23:18",12.06.2026,Tulucești,0
"13.06.2026 22:21",13.06.2026,Tulucești,0
"13.06.2026 22:21",13.06.2026,Tulucești,0
"13.06.2026 22:21",13.06.2026,Tulucești,0
"13.06.2026 22:21",13.06.2026,Tulucești,0
"14.06.2026 22:31",14.06.2026,Tulucești,0
"14.06.2026 22:31",14.06.2026,Tulucești,0
"14.06.2026 22:31",14.06.2026,Tulucești,0
"15.06.2026 23:18",15.06.2026,Tulucești,0
"15.06.2026 23:18",15.06.2026,Tulucești,0
"15.06.2026 23:18",15.06.2026,Tulucești,0
"16.06.2026 23:09",16.06.2026,Tulucești,0
"16.06.2026 23:09",16.06.2026,Tulucești,0
"16.06.2026 23:09",16.06.2026,Tulucești,0
"17.06.2026 23:02",17.06.2026,Tulucești,0
"17.06.2026 23:02",17.06.2026,Tulucești,0
"17.06.2026 23:02",17.06.2026,Tulucești,0
"17.06.2026 23:02",17.06.2026,Tulucești,0
"19.06.2026 00:15",18.06.2026,Tulucești,0
"19.06.2026 00:15",18.06.2026,Tulucești,0
"19.06.2026 00:15",18.06.2026,Tulucești,0
"19.06.2026 23:25",19.06.2026,Tulucești,0
"19.06.2026 23:25",19.06.2026,Tulucești,0
"19.06.2026 23:25",19.06.2026,Tulucești,0
"19.06.2026 23:25",19.06.2026,Tulucești,0
"20.06.2026 22:27",20.06.2026,Tulucești,0
"20.06.2026 22:27",20.06.2026,Tulucești,0
"20.06.2026 22:27",20.06.2026,Tulucești,0
"20.06.2026 22:27",20.06.2026,Tulucești,0
"21.06.2026 22:36",21.06.2026,Tulucești,0
"21.06.2026 22:36",21.06.2026,Tulucești,0
"21.06.2026 22:36",21.06.2026,Tulucești,0
"23.06.2026 00:08",22.06.2026,Tulucești,0
"23.06.2026 00:08",22.06.2026,Tulucești,0
"23.06.2026 00:08",22.06.2026,Tulucești,0
"23.06.2026 00:08",22.06.2026,Tulucești,0
"23.06.2026 00:08",22.06.2026,Tulucești,0
"23.06.2026 23:35",23.06.2026,Tulucești,0
"23.06.2026 23:35",23.06.2026,Tulucești,0
"23.06.2026 23:35",23.06.2026,Tulucești,0
"23.06.2026 23:35",23.06.2026,Tulucești,0
"23.06.2026 23:35",23.06.2026,Tulucești,0
"24.06.2026 23:14",24.06.2026,Tulucești,0
"24.06.2026 23:14",24.06.2026,Tulucești,0
"24.06.2026 23:14",24.06.2026,Tulucești,0
"24.06.2026 23:14",24.06.2026,Tulucești,0
"24.06.2026 23:14",24.06.2026,Tulucești,0
"25.06.2026 23:39",25.06.2026,Tulucești,0
"25.06.2026 23:39",25.06.2026,Tulucești,0
"25.06.2026 23:39",25.06.2026,Tulucești,0
"25.06.2026 23:39",25.06.2026,Tulucești,0
"26.06.2026 23:30",26.06.2026,Tulucești,0
"26.06.2026 23:30",26.06.2026,Tulucești,0
"26.06.2026 23:30",26.06.2026,Tulucești,0
"26.06.2026 23:30",26.06.2026,Tulucești,0
"26.06.2026 23:30",26.06.2026,Tulucești,0
"27.06.2026 22:43",27.06.2026,Tulucești,0
"27.06.2026 22:43",27.06.2026,Tulucești,0
"27.06.2026 22:43",27.06.2026,Tulucești,0
"27.06.2026 22:43",27.06.2026,Tulucești,0
"28.06.2026 22:50",28.06.2026,Tulucești,5
"28.06.2026 22:50",28.06.2026,Tulucești,5
"28.06.2026 22:50",28.06.2026,Tulucești,5
"29.06.2026 23:30",29.06.2026,Tulucești,0
"29.06.2026 23:30",29.06.2026,Tulucești,0
"29.06.2026 23:30",29.06.2026,Tulucești,0
"29.06.2026 23:30",29.06.2026,Tulucești,0
"30.06.2026 22:32",30.06.2026,Tulucești,0
"30.06.2026 22:32",30.06.2026,Tulucești,0
"30.06.2026 22:32",30.06.2026,Tulucești,0
