currentTimestamp,cfr_date,station,totalDelayMinutes
"01.07.2026 23:36",01.07.2026,"Uilacu Șimleului hc",0
"01.07.2026 23:36",01.07.2026,"Uilacu Șimleului hc",0
"01.07.2026 23:36",01.07.2026,"Uilacu Șimleului hc",0
"01.07.2026 23:36",01.07.2026,"Uilacu Șimleului hc",0
"01.07.2026 23:36",01.07.2026,"Uilacu Șimleului hc",0
"02.07.2026 23:27",02.07.2026,"Uilacu Șimleului hc",18
"02.07.2026 23:27",02.07.2026,"Uilacu Șimleului hc",18
"02.07.2026 23:27",02.07.2026,"Uilacu Șimleului hc",18
"02.07.2026 23:27",02.07.2026,"Uilacu Șimleului hc",18
"02.07.2026 23:27",02.07.2026,"Uilacu Șimleului hc",18
"03.07.2026 22:22",03.07.2026,"Uilacu Șimleului hc",0
"03.07.2026 22:22",03.07.2026,"Uilacu Șimleului hc",0
"03.07.2026 22:22",03.07.2026,"Uilacu Șimleului hc",0
"03.07.2026 22:22",03.07.2026,"Uilacu Șimleului hc",0
"03.07.2026 22:22",03.07.2026,"Uilacu Șimleului hc",0
"05.07.2026 23:16",05.07.2026,"Uilacu Șimleului hc",0
"05.07.2026 23:16",05.07.2026,"Uilacu Șimleului hc",0
"05.07.2026 23:16",05.07.2026,"Uilacu Șimleului hc",0
"05.07.2026 23:16",05.07.2026,"Uilacu Șimleului hc",0
"06.07.2026 23:36",06.07.2026,"Uilacu Șimleului hc",4
"06.07.2026 23:36",06.07.2026,"Uilacu Șimleului hc",4
"06.07.2026 23:36",06.07.2026,"Uilacu Șimleului hc",4
"06.07.2026 23:36",06.07.2026,"Uilacu Șimleului hc",4
"06.07.2026 23:36",06.07.2026,"Uilacu Șimleului hc",4
"07.07.2026 22:59",07.07.2026,"Uilacu Șimleului hc",0
"07.07.2026 22:59",07.07.2026,"Uilacu Șimleului hc",0
"07.07.2026 22:59",07.07.2026,"Uilacu Șimleului hc",0
"07.07.2026 22:59",07.07.2026,"Uilacu Șimleului hc",0
"07.07.2026 22:59",07.07.2026,"Uilacu Șimleului hc",0
"08.07.2026 23:03",08.07.2026,"Uilacu Șimleului hc",0
