currentTimestamp,cfr_date,station,totalDelayMinutes
"06.06.2026 20:21",05.06.2026,"Crângu lui Bot",12
"07.06.2026 04:06",06.06.2026,"Crângu lui Bot",0
"07.06.2026 08:23",06.06.2026,"Crângu lui Bot",0
"07.06.2026 11:04",06.06.2026,"Crângu lui Bot",0
"07.06.2026 12:30",06.06.2026,"Crângu lui Bot",0
"07.06.2026 14:39",06.06.2026,"Crângu lui Bot",0
"07.06.2026 17:43",06.06.2026,"Crângu lui Bot",0
"07.06.2026 20:17",06.06.2026,"Crângu lui Bot",0
"07.06.2026 21:43",07.06.2026,"Crângu lui Bot",26
"07.06.2026 23:19",07.06.2026,"Crângu lui Bot",26
"08.06.2026 04:55",07.06.2026,"Crângu lui Bot",26
"08.06.2026 22:09",08.06.2026,"Crângu lui Bot",6
"08.06.2026 22:09",08.06.2026,"Crângu lui Bot",6
"08.06.2026 22:09",08.06.2026,"Crângu lui Bot",6
"08.06.2026 22:09",08.06.2026,"Crângu lui Bot",6
"08.06.2026 22:09",08.06.2026,"Crângu lui Bot",6
"09.06.2026 22:55",09.06.2026,"Crângu lui Bot",4
"09.06.2026 22:55",09.06.2026,"Crângu lui Bot",4
"09.06.2026 22:55",09.06.2026,"Crângu lui Bot",4
"09.06.2026 22:55",09.06.2026,"Crângu lui Bot",4
"10.06.2026 23:30",10.06.2026,"Crângu lui Bot",51
"10.06.2026 23:30",10.06.2026,"Crângu lui Bot",51
"10.06.2026 23:30",10.06.2026,"Crângu lui Bot",51
"11.06.2026 23:27",11.06.2026,"Crângu lui Bot",0
"11.06.2026 23:27",11.06.2026,"Crângu lui Bot",0
"11.06.2026 23:27",11.06.2026,"Crângu lui Bot",0
"11.06.2026 23:27",11.06.2026,"Crângu lui Bot",0
"12.06.2026 22:52",12.06.2026,"Crângu lui Bot",42
"12.06.2026 22:52",12.06.2026,"Crângu lui Bot",42
"12.06.2026 22:52",12.06.2026,"Crângu lui Bot",42
"12.06.2026 22:52",12.06.2026,"Crângu lui Bot",42
"13.06.2026 22:15",13.06.2026,"Crângu lui Bot",6
"13.06.2026 22:15",13.06.2026,"Crângu lui Bot",6
"13.06.2026 22:15",13.06.2026,"Crângu lui Bot",6
"13.06.2026 22:15",13.06.2026,"Crângu lui Bot",6
