currentTimestamp,cfr_date,station,totalDelayMinutes
"04.08.2026 06:16",03.08.2026,"Batiz hc",1
"04.08.2026 06:16",03.08.2026,"Batiz hc",1
"04.08.2026 06:16",03.08.2026,"Batiz hc",1
"05.08.2026 09:06",04.08.2026,"Batiz hc",3
"05.08.2026 09:06",04.08.2026,"Batiz hc",3
"05.08.2026 09:06",04.08.2026,"Batiz hc",3
"05.08.2026 22:28",05.08.2026,"Batiz hc",5
"05.08.2026 22:28",05.08.2026,"Batiz hc",5
"05.08.2026 22:28",05.08.2026,"Batiz hc",5
"05.08.2026 22:28",05.08.2026,"Batiz hc",5
"07.08.2026 00:29",06.08.2026,"Batiz hc",3
"07.08.2026 00:29",06.08.2026,"Batiz hc",3
"07.08.2026 00:29",06.08.2026,"Batiz hc",3
"07.08.2026 00:29",06.08.2026,"Batiz hc",3
"07.08.2026 00:29",06.08.2026,"Batiz hc",3
"07.08.2026 21:57",07.08.2026,"Batiz hc",4
"07.08.2026 21:57",07.08.2026,"Batiz hc",4
"07.08.2026 21:57",07.08.2026,"Batiz hc",4
"07.08.2026 21:57",07.08.2026,"Batiz hc",4
"07.08.2026 21:57",07.08.2026,"Batiz hc",4
"07.08.2026 21:57",07.08.2026,"Batiz hc",4
"08.08.2026 21:39",08.08.2026,"Batiz hc",8
"08.08.2026 21:39",08.08.2026,"Batiz hc",8
"08.08.2026 21:39",08.08.2026,"Batiz hc",8
"08.08.2026 21:39",08.08.2026,"Batiz hc",8
"09.08.2026 21:59",09.08.2026,"Batiz hc",2
"09.08.2026 21:59",09.08.2026,"Batiz hc",2
"09.08.2026 21:59",09.08.2026,"Batiz hc",2
"09.08.2026 21:59",09.08.2026,"Batiz hc",2
"09.08.2026 21:59",09.08.2026,"Batiz hc",2
"09.08.2026 21:59",09.08.2026,"Batiz hc",2
"10.08.2026 21:51",10.08.2026,"Batiz hc",1
"10.08.2026 21:51",10.08.2026,"Batiz hc",1
"10.08.2026 21:51",10.08.2026,"Batiz hc",1
"10.08.2026 21:51",10.08.2026,"Batiz hc",1
"10.08.2026 21:51",10.08.2026,"Batiz hc",1
"10.08.2026 21:51",10.08.2026,"Batiz hc",1
"11.08.2026 22:17",11.08.2026,"Batiz hc",4
"11.08.2026 22:17",11.08.2026,"Batiz hc",4
"11.08.2026 22:17",11.08.2026,"Batiz hc",4
"11.08.2026 22:17",11.08.2026,"Batiz hc",4
"11.08.2026 22:17",11.08.2026,"Batiz hc",4
"11.08.2026 22:17",11.08.2026,"Batiz hc",4
"12.08.2026 22:15",12.08.2026,"Batiz hc",3
"12.08.2026 22:15",12.08.2026,"Batiz hc",3
"12.08.2026 22:15",12.08.2026,"Batiz hc",3
"12.08.2026 22:15",12.08.2026,"Batiz hc",3
