currentTimestamp,cfr_date,station,totalDelayMinutes
"04.08.2026 07:02",03.08.2026,"Stolniceni hc",197
"04.08.2026 07:02",03.08.2026,"Stolniceni hc",197
"04.08.2026 07:02",03.08.2026,"Stolniceni hc",197
"05.08.2026 09:53",04.08.2026,"Stolniceni hc",106
"05.08.2026 09:53",04.08.2026,"Stolniceni hc",106
"05.08.2026 09:53",04.08.2026,"Stolniceni hc",106
"05.08.2026 22:58",05.08.2026,"Stolniceni hc",238
"05.08.2026 22:58",05.08.2026,"Stolniceni hc",238
"05.08.2026 22:58",05.08.2026,"Stolniceni hc",238
"05.08.2026 22:58",05.08.2026,"Stolniceni hc",238
"07.08.2026 01:17",06.08.2026,"Stolniceni hc",254
"07.08.2026 01:17",06.08.2026,"Stolniceni hc",254
"07.08.2026 01:17",06.08.2026,"Stolniceni hc",254
"07.08.2026 01:17",06.08.2026,"Stolniceni hc",254
"07.08.2026 01:17",06.08.2026,"Stolniceni hc",254
"07.08.2026 22:28",07.08.2026,"Stolniceni hc",128
"07.08.2026 22:28",07.08.2026,"Stolniceni hc",128
"07.08.2026 22:28",07.08.2026,"Stolniceni hc",128
"07.08.2026 22:28",07.08.2026,"Stolniceni hc",128
"07.08.2026 22:28",07.08.2026,"Stolniceni hc",128
"07.08.2026 22:28",07.08.2026,"Stolniceni hc",128
"08.08.2026 21:48",08.08.2026,"Stolniceni hc",88
"08.08.2026 21:48",08.08.2026,"Stolniceni hc",88
"08.08.2026 21:48",08.08.2026,"Stolniceni hc",88
"08.08.2026 21:48",08.08.2026,"Stolniceni hc",88
"09.08.2026 22:42",09.08.2026,"Stolniceni hc",115
"09.08.2026 22:42",09.08.2026,"Stolniceni hc",115
"09.08.2026 22:42",09.08.2026,"Stolniceni hc",115
"09.08.2026 22:42",09.08.2026,"Stolniceni hc",115
"09.08.2026 22:42",09.08.2026,"Stolniceni hc",115
"09.08.2026 22:42",09.08.2026,"Stolniceni hc",115
"10.08.2026 22:00",10.08.2026,"Stolniceni hc",99
"10.08.2026 22:00",10.08.2026,"Stolniceni hc",99
"10.08.2026 22:00",10.08.2026,"Stolniceni hc",99
"10.08.2026 22:00",10.08.2026,"Stolniceni hc",99
"10.08.2026 22:00",10.08.2026,"Stolniceni hc",99
"10.08.2026 22:00",10.08.2026,"Stolniceni hc",99
"11.08.2026 23:05",11.08.2026,"Stolniceni hc",161
"11.08.2026 23:05",11.08.2026,"Stolniceni hc",161
"11.08.2026 23:05",11.08.2026,"Stolniceni hc",161
"11.08.2026 23:05",11.08.2026,"Stolniceni hc",161
"11.08.2026 23:05",11.08.2026,"Stolniceni hc",161
"11.08.2026 23:05",11.08.2026,"Stolniceni hc",161
"12.08.2026 23:02",12.08.2026,"Stolniceni hc",94
"12.08.2026 23:02",12.08.2026,"Stolniceni hc",94
"12.08.2026 23:02",12.08.2026,"Stolniceni hc",94
"12.08.2026 23:02",12.08.2026,"Stolniceni hc",94
"12.08.2026 23:02",12.08.2026,"Stolniceni hc",94
"12.08.2026 23:02",12.08.2026,"Stolniceni hc",94
"13.08.2026 22:13",13.08.2026,"Stolniceni hc",152
"13.08.2026 22:13",13.08.2026,"Stolniceni hc",152
"13.08.2026 22:13",13.08.2026,"Stolniceni hc",152
"13.08.2026 22:13",13.08.2026,"Stolniceni hc",152
