currentTimestamp,cfr_date,station,totalDelayMinutes
"04.08.2026 06:25",03.08.2026,"Cezieni hc",45
"04.08.2026 06:25",03.08.2026,"Cezieni hc",45
"04.08.2026 06:25",03.08.2026,"Cezieni hc",45
"05.08.2026 09:16",04.08.2026,"Cezieni hc",54
"05.08.2026 09:16",04.08.2026,"Cezieni hc",54
"05.08.2026 09:16",04.08.2026,"Cezieni hc",54
"05.08.2026 22:35",05.08.2026,"Cezieni hc",33
"05.08.2026 22:35",05.08.2026,"Cezieni hc",33
"05.08.2026 22:35",05.08.2026,"Cezieni hc",33
"05.08.2026 22:35",05.08.2026,"Cezieni hc",33
"07.08.2026 00:39",06.08.2026,"Cezieni hc",158
"07.08.2026 00:39",06.08.2026,"Cezieni hc",158
"07.08.2026 00:39",06.08.2026,"Cezieni hc",158
"07.08.2026 00:39",06.08.2026,"Cezieni hc",158
"07.08.2026 00:39",06.08.2026,"Cezieni hc",158
"07.08.2026 22:04",07.08.2026,"Cezieni hc",8
"07.08.2026 22:04",07.08.2026,"Cezieni hc",8
"07.08.2026 22:04",07.08.2026,"Cezieni hc",8
"07.08.2026 22:04",07.08.2026,"Cezieni hc",8
"07.08.2026 22:04",07.08.2026,"Cezieni hc",8
"07.08.2026 22:04",07.08.2026,"Cezieni hc",8
"08.08.2026 21:41",08.08.2026,"Cezieni hc",17
"08.08.2026 21:41",08.08.2026,"Cezieni hc",17
"08.08.2026 21:41",08.08.2026,"Cezieni hc",17
"08.08.2026 21:41",08.08.2026,"Cezieni hc",17
"09.08.2026 22:08",09.08.2026,"Cezieni hc",46
"09.08.2026 22:08",09.08.2026,"Cezieni hc",46
"09.08.2026 22:08",09.08.2026,"Cezieni hc",46
"09.08.2026 22:08",09.08.2026,"Cezieni hc",46
"09.08.2026 22:08",09.08.2026,"Cezieni hc",46
"09.08.2026 22:08",09.08.2026,"Cezieni hc",46
"10.08.2026 21:53",10.08.2026,"Cezieni hc",172
"10.08.2026 21:53",10.08.2026,"Cezieni hc",172
"10.08.2026 21:53",10.08.2026,"Cezieni hc",172
"10.08.2026 21:53",10.08.2026,"Cezieni hc",172
"10.08.2026 21:53",10.08.2026,"Cezieni hc",172
"10.08.2026 21:53",10.08.2026,"Cezieni hc",172
"11.08.2026 22:27",11.08.2026,"Cezieni hc",53
"11.08.2026 22:27",11.08.2026,"Cezieni hc",53
"11.08.2026 22:27",11.08.2026,"Cezieni hc",53
"11.08.2026 22:27",11.08.2026,"Cezieni hc",53
"11.08.2026 22:27",11.08.2026,"Cezieni hc",53
"11.08.2026 22:27",11.08.2026,"Cezieni hc",53
"12.08.2026 22:25",12.08.2026,"Cezieni hc",40
"12.08.2026 22:25",12.08.2026,"Cezieni hc",40
"12.08.2026 22:25",12.08.2026,"Cezieni hc",40
"12.08.2026 22:25",12.08.2026,"Cezieni hc",40
"12.08.2026 22:25",12.08.2026,"Cezieni hc",40
"12.08.2026 22:25",12.08.2026,"Cezieni hc",40
