currentTimestamp,cfr_date,station,totalDelayMinutes
"01.07.2026 23:17",01.07.2026,"Pasajul Coșoveni hc",117
"01.07.2026 23:17",01.07.2026,"Pasajul Coșoveni hc",117
"01.07.2026 23:17",01.07.2026,"Pasajul Coșoveni hc",117
"01.07.2026 23:17",01.07.2026,"Pasajul Coșoveni hc",117
"01.07.2026 23:17",01.07.2026,"Pasajul Coșoveni hc",117
"02.07.2026 23:08",02.07.2026,"Pasajul Coșoveni hc",132
"02.07.2026 23:08",02.07.2026,"Pasajul Coșoveni hc",132
"02.07.2026 23:08",02.07.2026,"Pasajul Coșoveni hc",132
"02.07.2026 23:08",02.07.2026,"Pasajul Coșoveni hc",132
"02.07.2026 23:08",02.07.2026,"Pasajul Coșoveni hc",132
"03.07.2026 22:19",03.07.2026,"Pasajul Coșoveni hc",194
"03.07.2026 22:19",03.07.2026,"Pasajul Coșoveni hc",194
"03.07.2026 22:19",03.07.2026,"Pasajul Coșoveni hc",194
"03.07.2026 22:19",03.07.2026,"Pasajul Coșoveni hc",194
"03.07.2026 22:19",03.07.2026,"Pasajul Coșoveni hc",194
"04.07.2026 22:55",04.07.2026,"Pasajul Coșoveni hc",51
"04.07.2026 22:55",04.07.2026,"Pasajul Coșoveni hc",51
"04.07.2026 22:55",04.07.2026,"Pasajul Coșoveni hc",51
"04.07.2026 22:55",04.07.2026,"Pasajul Coșoveni hc",51
"04.07.2026 22:55",04.07.2026,"Pasajul Coșoveni hc",51
"05.07.2026 22:58",05.07.2026,"Pasajul Coșoveni hc",110
"05.07.2026 22:58",05.07.2026,"Pasajul Coșoveni hc",110
"05.07.2026 22:58",05.07.2026,"Pasajul Coșoveni hc",110
"05.07.2026 22:58",05.07.2026,"Pasajul Coșoveni hc",110
"06.07.2026 23:16",06.07.2026,"Pasajul Coșoveni hc",94
"06.07.2026 23:16",06.07.2026,"Pasajul Coșoveni hc",94
"06.07.2026 23:16",06.07.2026,"Pasajul Coșoveni hc",94
"06.07.2026 23:16",06.07.2026,"Pasajul Coșoveni hc",94
"06.07.2026 23:16",06.07.2026,"Pasajul Coșoveni hc",94
"07.07.2026 22:48",07.07.2026,"Pasajul Coșoveni hc",123
"07.07.2026 22:48",07.07.2026,"Pasajul Coșoveni hc",123
"07.07.2026 22:48",07.07.2026,"Pasajul Coșoveni hc",123
"07.07.2026 22:48",07.07.2026,"Pasajul Coșoveni hc",123
"07.07.2026 22:48",07.07.2026,"Pasajul Coșoveni hc",123
"08.07.2026 22:51",08.07.2026,"Pasajul Coșoveni hc",46
"08.07.2026 22:51",08.07.2026,"Pasajul Coșoveni hc",46
"08.07.2026 22:51",08.07.2026,"Pasajul Coșoveni hc",46
"08.07.2026 22:51",08.07.2026,"Pasajul Coșoveni hc",46
"08.07.2026 22:51",08.07.2026,"Pasajul Coșoveni hc",46
"09.07.2026 23:08",09.07.2026,"Pasajul Coșoveni hc",81
"09.07.2026 23:08",09.07.2026,"Pasajul Coșoveni hc",81
"09.07.2026 23:08",09.07.2026,"Pasajul Coșoveni hc",81
"09.07.2026 23:08",09.07.2026,"Pasajul Coșoveni hc",81
"09.07.2026 23:08",09.07.2026,"Pasajul Coșoveni hc",81
"10.07.2026 22:53",10.07.2026,"Pasajul Coșoveni hc",77
"10.07.2026 22:53",10.07.2026,"Pasajul Coșoveni hc",77
"10.07.2026 22:53",10.07.2026,"Pasajul Coșoveni hc",77
"10.07.2026 22:53",10.07.2026,"Pasajul Coșoveni hc",77
