currentTimestamp,cfr_date,station,totalDelayMinutes
"04.08.2026 06:13",03.08.2026,"Andrieșeni hc",0
"04.08.2026 06:13",03.08.2026,"Andrieșeni hc",0
"04.08.2026 06:13",03.08.2026,"Andrieșeni hc",0
"05.08.2026 09:04",04.08.2026,"Andrieșeni hc",0
"05.08.2026 09:04",04.08.2026,"Andrieșeni hc",0
"05.08.2026 09:04",04.08.2026,"Andrieșeni hc",0
"05.08.2026 22:27",05.08.2026,"Andrieșeni hc",33
"05.08.2026 22:27",05.08.2026,"Andrieșeni hc",33
"05.08.2026 22:27",05.08.2026,"Andrieșeni hc",33
"05.08.2026 22:27",05.08.2026,"Andrieșeni hc",33
"07.08.2026 00:26",06.08.2026,"Andrieșeni hc",7
"07.08.2026 00:26",06.08.2026,"Andrieșeni hc",7
"07.08.2026 00:26",06.08.2026,"Andrieșeni hc",7
"07.08.2026 00:26",06.08.2026,"Andrieșeni hc",7
"07.08.2026 00:26",06.08.2026,"Andrieșeni hc",7
"07.08.2026 21:56",07.08.2026,"Andrieșeni hc",0
"07.08.2026 21:56",07.08.2026,"Andrieșeni hc",0
"07.08.2026 21:56",07.08.2026,"Andrieșeni hc",0
"07.08.2026 21:56",07.08.2026,"Andrieșeni hc",0
"07.08.2026 21:56",07.08.2026,"Andrieșeni hc",0
"07.08.2026 21:56",07.08.2026,"Andrieșeni hc",0
"08.08.2026 21:39",08.08.2026,"Andrieșeni hc",0
"08.08.2026 21:39",08.08.2026,"Andrieșeni hc",0
"08.08.2026 21:39",08.08.2026,"Andrieșeni hc",0
"08.08.2026 21:39",08.08.2026,"Andrieșeni hc",0
"09.08.2026 21:56",09.08.2026,"Andrieșeni hc",11
"09.08.2026 21:56",09.08.2026,"Andrieșeni hc",11
"09.08.2026 21:56",09.08.2026,"Andrieșeni hc",11
"09.08.2026 21:56",09.08.2026,"Andrieșeni hc",11
"09.08.2026 21:56",09.08.2026,"Andrieșeni hc",11
"09.08.2026 21:56",09.08.2026,"Andrieșeni hc",11
"10.08.2026 21:51",10.08.2026,"Andrieșeni hc",32
"10.08.2026 21:51",10.08.2026,"Andrieșeni hc",32
"10.08.2026 21:51",10.08.2026,"Andrieșeni hc",32
"10.08.2026 21:51",10.08.2026,"Andrieșeni hc",32
"10.08.2026 21:51",10.08.2026,"Andrieșeni hc",32
"10.08.2026 21:51",10.08.2026,"Andrieșeni hc",32
"11.08.2026 22:14",11.08.2026,"Andrieșeni hc",0
"11.08.2026 22:14",11.08.2026,"Andrieșeni hc",0
"11.08.2026 22:14",11.08.2026,"Andrieșeni hc",0
"11.08.2026 22:14",11.08.2026,"Andrieșeni hc",0
"11.08.2026 22:14",11.08.2026,"Andrieșeni hc",0
"11.08.2026 22:14",11.08.2026,"Andrieșeni hc",0
"12.08.2026 22:13",12.08.2026,"Andrieșeni hc",0
"12.08.2026 22:13",12.08.2026,"Andrieșeni hc",0
"12.08.2026 22:13",12.08.2026,"Andrieșeni hc",0
"12.08.2026 22:13",12.08.2026,"Andrieșeni hc",0
"12.08.2026 22:13",12.08.2026,"Andrieșeni hc",0
"12.08.2026 22:13",12.08.2026,"Andrieșeni hc",0
"13.08.2026 21:55",13.08.2026,"Andrieșeni hc",0
"13.08.2026 21:55",13.08.2026,"Andrieșeni hc",0
"13.08.2026 21:55",13.08.2026,"Andrieșeni hc",0
"13.08.2026 21:55",13.08.2026,"Andrieșeni hc",0
"13.08.2026 21:55",13.08.2026,"Andrieșeni hc",0
"13.08.2026 21:55",13.08.2026,"Andrieșeni hc",0
"14.08.2026 21:50",14.08.2026,"Andrieșeni hc",0
"14.08.2026 21:50",14.08.2026,"Andrieșeni hc",0
"14.08.2026 21:50",14.08.2026,"Andrieșeni hc",0
"14.08.2026 21:50",14.08.2026,"Andrieșeni hc",0
"14.08.2026 21:50",14.08.2026,"Andrieșeni hc",0
"14.08.2026 21:50",14.08.2026,"Andrieșeni hc",0
"15.08.2026 21:44",15.08.2026,"Andrieșeni hc",0
"15.08.2026 21:44",15.08.2026,"Andrieșeni hc",0
"15.08.2026 21:44",15.08.2026,"Andrieșeni hc",0
"15.08.2026 21:44",15.08.2026,"Andrieșeni hc",0
"15.08.2026 21:44",15.08.2026,"Andrieșeni hc",0
"15.08.2026 21:44",15.08.2026,"Andrieșeni hc",0
"16.08.2026 21:37",16.08.2026,"Andrieșeni hc",108
"16.08.2026 21:37",16.08.2026,"Andrieșeni hc",108
"16.08.2026 21:37",16.08.2026,"Andrieșeni hc",108
