currentTimestamp,cfr_date,station,totalDelayMinutes
"04.08.2026 06:13",03.08.2026,"Aciliu hc",0
"04.08.2026 06:13",03.08.2026,"Aciliu hc",0
"04.08.2026 06:13",03.08.2026,"Aciliu hc",0
"05.08.2026 09:02",04.08.2026,"Aciliu hc",0
"05.08.2026 09:02",04.08.2026,"Aciliu hc",0
"05.08.2026 09:02",04.08.2026,"Aciliu hc",0
"05.08.2026 22:26",05.08.2026,"Aciliu hc",13
"05.08.2026 22:26",05.08.2026,"Aciliu hc",13
"05.08.2026 22:26",05.08.2026,"Aciliu hc",13
"05.08.2026 22:26",05.08.2026,"Aciliu hc",13
"07.08.2026 00:25",06.08.2026,"Aciliu hc",32
"07.08.2026 00:25",06.08.2026,"Aciliu hc",32
"07.08.2026 00:25",06.08.2026,"Aciliu hc",32
"07.08.2026 00:25",06.08.2026,"Aciliu hc",32
"07.08.2026 00:25",06.08.2026,"Aciliu hc",32
"07.08.2026 21:55",07.08.2026,"Aciliu hc",0
"07.08.2026 21:55",07.08.2026,"Aciliu hc",0
"07.08.2026 21:55",07.08.2026,"Aciliu hc",0
"07.08.2026 21:55",07.08.2026,"Aciliu hc",0
"07.08.2026 21:55",07.08.2026,"Aciliu hc",0
"07.08.2026 21:55",07.08.2026,"Aciliu hc",0
"08.08.2026 21:39",08.08.2026,"Aciliu hc",8
"08.08.2026 21:39",08.08.2026,"Aciliu hc",8
"08.08.2026 21:39",08.08.2026,"Aciliu hc",8
"08.08.2026 21:39",08.08.2026,"Aciliu hc",8
"09.08.2026 21:55",09.08.2026,"Aciliu hc",0
"09.08.2026 21:55",09.08.2026,"Aciliu hc",0
"09.08.2026 21:55",09.08.2026,"Aciliu hc",0
"09.08.2026 21:55",09.08.2026,"Aciliu hc",0
"09.08.2026 21:55",09.08.2026,"Aciliu hc",0
"09.08.2026 21:55",09.08.2026,"Aciliu hc",0
"10.08.2026 21:51",10.08.2026,"Aciliu hc",37
"10.08.2026 21:51",10.08.2026,"Aciliu hc",37
"10.08.2026 21:51",10.08.2026,"Aciliu hc",37
"10.08.2026 21:51",10.08.2026,"Aciliu hc",37
"10.08.2026 21:51",10.08.2026,"Aciliu hc",37
