currentTimestamp,cfr_date,station,totalDelayMinutes
"01.07.2026 22:57",01.07.2026,"Cornurile hc",359
"01.07.2026 22:57",01.07.2026,"Cornurile hc",359
"01.07.2026 22:57",01.07.2026,"Cornurile hc",359
"01.07.2026 22:57",01.07.2026,"Cornurile hc",359
"01.07.2026 22:57",01.07.2026,"Cornurile hc",359
"02.07.2026 22:47",02.07.2026,"Cornurile hc",166
"02.07.2026 22:47",02.07.2026,"Cornurile hc",166
"02.07.2026 22:47",02.07.2026,"Cornurile hc",166
"02.07.2026 22:47",02.07.2026,"Cornurile hc",166
"02.07.2026 22:47",02.07.2026,"Cornurile hc",166
"03.07.2026 22:15",03.07.2026,"Cornurile hc",155
"03.07.2026 22:15",03.07.2026,"Cornurile hc",155
"03.07.2026 22:15",03.07.2026,"Cornurile hc",155
"03.07.2026 22:15",03.07.2026,"Cornurile hc",155
"03.07.2026 22:15",03.07.2026,"Cornurile hc",155
"04.07.2026 22:35",04.07.2026,"Cornurile hc",129
"04.07.2026 22:35",04.07.2026,"Cornurile hc",129
"04.07.2026 22:35",04.07.2026,"Cornurile hc",129
"04.07.2026 22:35",04.07.2026,"Cornurile hc",129
"04.07.2026 22:35",04.07.2026,"Cornurile hc",129
"05.07.2026 22:39",05.07.2026,"Cornurile hc",153
"05.07.2026 22:39",05.07.2026,"Cornurile hc",153
"05.07.2026 22:39",05.07.2026,"Cornurile hc",153
"05.07.2026 22:39",05.07.2026,"Cornurile hc",153
"06.07.2026 22:54",06.07.2026,"Cornurile hc",157
"06.07.2026 22:54",06.07.2026,"Cornurile hc",157
"06.07.2026 22:54",06.07.2026,"Cornurile hc",157
"06.07.2026 22:54",06.07.2026,"Cornurile hc",157
"06.07.2026 22:54",06.07.2026,"Cornurile hc",157
"07.07.2026 22:36",07.07.2026,"Cornurile hc",118
"07.07.2026 22:36",07.07.2026,"Cornurile hc",118
"07.07.2026 22:36",07.07.2026,"Cornurile hc",118
"07.07.2026 22:36",07.07.2026,"Cornurile hc",118
"07.07.2026 22:36",07.07.2026,"Cornurile hc",118
"08.07.2026 22:37",08.07.2026,"Cornurile hc",119
"08.07.2026 22:37",08.07.2026,"Cornurile hc",119
"08.07.2026 22:37",08.07.2026,"Cornurile hc",119
"08.07.2026 22:37",08.07.2026,"Cornurile hc",119
"08.07.2026 22:37",08.07.2026,"Cornurile hc",119
"09.07.2026 22:52",09.07.2026,"Cornurile hc",126
"09.07.2026 22:52",09.07.2026,"Cornurile hc",126
"09.07.2026 22:52",09.07.2026,"Cornurile hc",126
"09.07.2026 22:52",09.07.2026,"Cornurile hc",126
"09.07.2026 22:52",09.07.2026,"Cornurile hc",126
"10.07.2026 22:37",10.07.2026,"Cornurile hc",111
"10.07.2026 22:37",10.07.2026,"Cornurile hc",111
"10.07.2026 22:37",10.07.2026,"Cornurile hc",111
"10.07.2026 22:37",10.07.2026,"Cornurile hc",111
"10.07.2026 22:37",10.07.2026,"Cornurile hc",111
"10.07.2026 22:37",10.07.2026,"Cornurile hc",111
"11.07.2026 22:02",11.07.2026,"Cornurile hc",91
"11.07.2026 22:02",11.07.2026,"Cornurile hc",91
"11.07.2026 22:02",11.07.2026,"Cornurile hc",91
"11.07.2026 22:02",11.07.2026,"Cornurile hc",91
"11.07.2026 22:02",11.07.2026,"Cornurile hc",91
"11.07.2026 22:02",11.07.2026,"Cornurile hc",91
"12.07.2026 22:31",12.07.2026,"Cornurile hc",139
"12.07.2026 22:31",12.07.2026,"Cornurile hc",139
"12.07.2026 22:31",12.07.2026,"Cornurile hc",139
"12.07.2026 22:31",12.07.2026,"Cornurile hc",139
"12.07.2026 22:31",12.07.2026,"Cornurile hc",139
"13.07.2026 22:37",13.07.2026,"Cornurile hc",149
"13.07.2026 22:37",13.07.2026,"Cornurile hc",149
"13.07.2026 22:37",13.07.2026,"Cornurile hc",149
"13.07.2026 22:37",13.07.2026,"Cornurile hc",149
"13.07.2026 22:37",13.07.2026,"Cornurile hc",149
"14.07.2026 22:34",14.07.2026,"Cornurile hc",86
"14.07.2026 22:34",14.07.2026,"Cornurile hc",86
