currentTimestamp,cfr_date,station,totalDelayMinutes
"06.06.2026 20:25",05.06.2026,"Domnești pe Șieu hc",3
"07.06.2026 04:07",06.06.2026,"Domnești pe Șieu hc",4
"07.06.2026 08:23",06.06.2026,"Domnești pe Șieu hc",4
"07.06.2026 11:04",06.06.2026,"Domnești pe Șieu hc",4
"07.06.2026 12:30",06.06.2026,"Domnești pe Șieu hc",4
"07.06.2026 14:40",06.06.2026,"Domnești pe Șieu hc",4
"07.06.2026 17:44",06.06.2026,"Domnești pe Șieu hc",4
"07.06.2026 20:19",06.06.2026,"Domnești pe Șieu hc",4
"07.06.2026 21:45",07.06.2026,"Domnești pe Șieu hc",10
"07.06.2026 23:20",07.06.2026,"Domnești pe Șieu hc",10
"08.06.2026 04:55",07.06.2026,"Domnești pe Șieu hc",10
"08.06.2026 22:10",08.06.2026,"Domnești pe Șieu hc",18
"08.06.2026 22:10",08.06.2026,"Domnești pe Șieu hc",18
"08.06.2026 22:10",08.06.2026,"Domnești pe Șieu hc",18
"08.06.2026 22:10",08.06.2026,"Domnești pe Șieu hc",18
"08.06.2026 22:10",08.06.2026,"Domnești pe Șieu hc",18
"09.06.2026 22:57",09.06.2026,"Domnești pe Șieu hc",11
"09.06.2026 22:57",09.06.2026,"Domnești pe Șieu hc",11
"09.06.2026 22:57",09.06.2026,"Domnești pe Șieu hc",11
"09.06.2026 22:57",09.06.2026,"Domnești pe Șieu hc",11
"10.06.2026 23:33",10.06.2026,"Domnești pe Șieu hc",16
"10.06.2026 23:33",10.06.2026,"Domnești pe Șieu hc",16
"10.06.2026 23:33",10.06.2026,"Domnești pe Șieu hc",16
"11.06.2026 23:30",11.06.2026,"Domnești pe Șieu hc",8
"11.06.2026 23:30",11.06.2026,"Domnești pe Șieu hc",8
"11.06.2026 23:30",11.06.2026,"Domnești pe Șieu hc",8
"11.06.2026 23:30",11.06.2026,"Domnești pe Șieu hc",8
"12.06.2026 22:53",12.06.2026,"Domnești pe Șieu hc",43
"12.06.2026 22:53",12.06.2026,"Domnești pe Șieu hc",43
"12.06.2026 22:53",12.06.2026,"Domnești pe Șieu hc",43
"12.06.2026 22:53",12.06.2026,"Domnești pe Șieu hc",43
"13.06.2026 22:16",13.06.2026,"Domnești pe Șieu hc",2
"13.06.2026 22:16",13.06.2026,"Domnești pe Șieu hc",2
"13.06.2026 22:16",13.06.2026,"Domnești pe Șieu hc",2
"13.06.2026 22:16",13.06.2026,"Domnești pe Șieu hc",2
"14.06.2026 22:24",14.06.2026,"Domnești pe Șieu hc",11
"14.06.2026 22:24",14.06.2026,"Domnești pe Șieu hc",11
"14.06.2026 22:24",14.06.2026,"Domnești pe Șieu hc",11
