currentTimestamp,cfr_date,station,totalDelayMinutes
"01.07.2026 23:29",01.07.2026,"Siretu Bacău hc",78
"01.07.2026 23:29",01.07.2026,"Siretu Bacău hc",78
"01.07.2026 23:29",01.07.2026,"Siretu Bacău hc",78
"01.07.2026 23:29",01.07.2026,"Siretu Bacău hc",78
"01.07.2026 23:29",01.07.2026,"Siretu Bacău hc",78
"02.07.2026 23:20",02.07.2026,"Siretu Bacău hc",53
"02.07.2026 23:20",02.07.2026,"Siretu Bacău hc",53
"02.07.2026 23:20",02.07.2026,"Siretu Bacău hc",53
"02.07.2026 23:20",02.07.2026,"Siretu Bacău hc",53
"02.07.2026 23:20",02.07.2026,"Siretu Bacău hc",53
"03.07.2026 22:21",03.07.2026,"Siretu Bacău hc",100
"03.07.2026 22:21",03.07.2026,"Siretu Bacău hc",100
"03.07.2026 22:21",03.07.2026,"Siretu Bacău hc",100
"03.07.2026 22:21",03.07.2026,"Siretu Bacău hc",100
"03.07.2026 22:21",03.07.2026,"Siretu Bacău hc",100
"04.07.2026 23:06",04.07.2026,"Siretu Bacău hc",46
"04.07.2026 23:06",04.07.2026,"Siretu Bacău hc",46
"04.07.2026 23:06",04.07.2026,"Siretu Bacău hc",46
"04.07.2026 23:06",04.07.2026,"Siretu Bacău hc",46
"04.07.2026 23:06",04.07.2026,"Siretu Bacău hc",46
"05.07.2026 23:09",05.07.2026,"Siretu Bacău hc",38
"05.07.2026 23:09",05.07.2026,"Siretu Bacău hc",38
"05.07.2026 23:09",05.07.2026,"Siretu Bacău hc",38
"05.07.2026 23:09",05.07.2026,"Siretu Bacău hc",38
"06.07.2026 23:29",06.07.2026,"Siretu Bacău hc",58
"06.07.2026 23:29",06.07.2026,"Siretu Bacău hc",58
"06.07.2026 23:29",06.07.2026,"Siretu Bacău hc",58
"06.07.2026 23:29",06.07.2026,"Siretu Bacău hc",58
"06.07.2026 23:29",06.07.2026,"Siretu Bacău hc",58
"07.07.2026 22:55",07.07.2026,"Siretu Bacău hc",61
"07.07.2026 22:55",07.07.2026,"Siretu Bacău hc",61
"07.07.2026 22:55",07.07.2026,"Siretu Bacău hc",61
"07.07.2026 22:55",07.07.2026,"Siretu Bacău hc",61
"07.07.2026 22:55",07.07.2026,"Siretu Bacău hc",61
"08.07.2026 22:59",08.07.2026,"Siretu Bacău hc",41
"08.07.2026 22:59",08.07.2026,"Siretu Bacău hc",41
"08.07.2026 22:59",08.07.2026,"Siretu Bacău hc",41
"08.07.2026 22:59",08.07.2026,"Siretu Bacău hc",41
"08.07.2026 22:59",08.07.2026,"Siretu Bacău hc",41
"09.07.2026 23:16",09.07.2026,"Siretu Bacău hc",48
"09.07.2026 23:16",09.07.2026,"Siretu Bacău hc",48
"09.07.2026 23:16",09.07.2026,"Siretu Bacău hc",48
"09.07.2026 23:16",09.07.2026,"Siretu Bacău hc",48
"09.07.2026 23:16",09.07.2026,"Siretu Bacău hc",48
"10.07.2026 23:03",10.07.2026,"Siretu Bacău hc",65
"10.07.2026 23:03",10.07.2026,"Siretu Bacău hc",65
"10.07.2026 23:03",10.07.2026,"Siretu Bacău hc",65
"10.07.2026 23:03",10.07.2026,"Siretu Bacău hc",65
"10.07.2026 23:03",10.07.2026,"Siretu Bacău hc",65
"10.07.2026 23:03",10.07.2026,"Siretu Bacău hc",65
"11.07.2026 22:08",11.07.2026,"Siretu Bacău hc",48
"11.07.2026 22:08",11.07.2026,"Siretu Bacău hc",48
"11.07.2026 22:08",11.07.2026,"Siretu Bacău hc",48
"11.07.2026 22:08",11.07.2026,"Siretu Bacău hc",48
